Locality,PrecinctCode,PrecinctName,ActiveVoters,InactiveVoters,AllVoters,MilitaryVoters,OverseasVoters,TempVoters,TotalPrecinctsInLocality,TotalActiveVotersPrecinctLocality,TotalInActiveVotersPrecinctLocality,TotalAllVotersPrecinctLocality,TotalMilitaryVotersPrecinctLocality,TotalOverseasVotersPrecinctLocality,TotalFederalVotersPrecinctLocality,StateTotalLocality,TotalActiveVotersLocality,TotalInActiveVotersLocality,TotalAllVotersLocality,TotalMilitaryVotersLocality,TotalOverseasVotersLocality,TotalFederalVotersLocality,StateTotalPrecincts
Locality: 003 ALBEMARLE COUNTY,0104,104 - AGNOR-HURT,"2,508",131,"2,639",14,15,7,30,"77,923","4,278","82,201",631,554,169,133,"5,681,535","300,575","5,982,110","93,843","22,595","9,208","2,456"
Locality: 003 ALBEMARLE COUNTY,0105,105 - DUNLORA,"3,447",166,"3,613",27,26,5,30,"77,923","4,278","82,201",631,554,169,133,"5,681,535","300,575","5,982,110","93,843","22,595","9,208","2,456"
Locality: 003 ALBEMARLE COUNTY,0106,106 - NORTHSIDE,"3,737",199,"3,936",50,27,4,30,"77,923","4,278","82,201",631,554,169,133,"5,681,535","300,575","5,982,110","93,843","22,595","9,208","2,456"
Locality: 003 ALBEMARLE COUNTY,0201,201 - JACK JOUETT,"3,631",201,"3,832",20,39,23,30,"77,923","4,278","82,201",631,554,169,133,"5,681,535","300,575","5,982,110","93,843","22,595","9,208","2,456"
Locality: 003 ALBEMARLE COUNTY,0202,202 - UNIVERSITY,"2,721",931,"3,652",19,41,17,30,"77,923","4,278","82,201",631,554,169,133,"5,681,535","300,575","5,982,110","93,843","22,595","9,208","2,456"
Locality: 003 ALBEMARLE COUNTY,0203,203 - GEORGETOWN,"3,152",241,"3,393",29,18,14,30,"77,923","4,278","82,201",631,554,169,133,"5,681,535","300,575","5,982,110","93,843","22,595","9,208","2,456"
Locality: 003 ALBEMARLE COUNTY,0301,301 - IVY,"3,921",130,"4,051",28,42,14,30,"77,923","4,278","82,201",631,554,169,133,"5,681,535","300,575","5,982,110","93,843","22,595","9,208","2,456"
Locality: 003 ALBEMARLE COUNTY,0302,302 - RED HILL,"3,120",103,"3,223",14,31,7,30,"77,923","4,278","82,201",631,554,169,133,"5,681,535","300,575","5,982,110","93,843","22,595","9,208","2,456"
Locality: 003 ALBEMARLE COUNTY,0304,304 - EAST IVY,"1,086",33,"1,119",7,13,2,30,"77,923","4,278","82,201",631,554,169,133,"5,681,535","300,575","5,982,110","93,843","22,595","9,208","2,456"
Locality: 003 ALBEMARLE COUNTY,0305,305 - COUNTRY GREEN,"2,921",116,"3,037",20,18,2,30,"77,923","4,278","82,201",631,554,169,133,"5,681,535","300,575","5,982,110","93,843","22,595","9,208","2,456"
Locality: 003 ALBEMARLE COUNTY,0306,306 - PORTERS,"1,660",42,"1,702",12,7,1,30,"77,923","4,278","82,201",631,554,169,133,"5,681,535","300,575","5,982,110","93,843","22,595","9,208","2,456"
Locality: 003 ALBEMARLE COUNTY,0307,307 - YELLOW MOUNTAIN,726,28,754,5,6,4,30,"77,923","4,278","82,201",631,554,169,133,"5,681,535","300,575","5,982,110","93,843","22,595","9,208","2,456"
Locality: 003 ALBEMARLE COUNTY,0401,401 - SCOTTSVILLE,"1,678",81,"1,759",5,12,3,30,"77,923","4,278","82,201",631,554,169,133,"5,681,535","300,575","5,982,110","93,843","22,595","9,208","2,456"
Locality: 003 ALBEMARLE COUNTY,0402,402 - MONTICELLO,"1,614",39,"1,653",12,7,,30,"77,923","4,278","82,201",631,554,169,133,"5,681,535","300,575","5,982,110","93,843","22,595","9,208","2,456"
Locality: 003 ALBEMARLE COUNTY,0405,405 - MOUNTAIN VIEW,"3,087",141,"3,228",18,12,4,30,"77,923","4,278","82,201",631,554,169,133,"5,681,535","300,575","5,982,110","93,843","22,595","9,208","2,456"
Locality: 003 ALBEMARLE COUNTY,0406,406 - STONE ROBINSON,"3,398",91,"3,489",17,13,4,30,"77,923","4,278","82,201",631,554,169,133,"5,681,535","300,575","5,982,110","93,843","22,595","9,208","2,456"
Locality: 003 ALBEMARLE COUNTY,0407,407 - BISCUIT RUN,"2,323",263,"2,586",14,13,3,30,"77,923","4,278","82,201",631,554,169,133,"5,681,535","300,575","5,982,110","93,843","22,595","9,208","2,456"
Locality: 003 ALBEMARLE COUNTY,0501,501 - KESWICK,"1,531",52,"1,583",12,10,3,30,"77,923","4,278","82,201",631,554,169,133,"5,681,535","300,575","5,982,110","93,843","22,595","9,208","2,456"
Locality: 003 ALBEMARLE COUNTY,0502,502 - STONY POINT,"1,624",43,"1,667",25,13,6,30,"77,923","4,278","82,201",631,554,169,133,"5,681,535","300,575","5,982,110","93,843","22,595","9,208","2,456"
Locality: 003 ALBEMARLE COUNTY,0503,503 - HOLLYMEAD,"2,601",97,"2,698",48,21,4,30,"77,923","4,278","82,201",631,554,169,133,"5,681,535","300,575","5,982,110","93,843","22,595","9,208","2,456"
Locality: 003 ALBEMARLE COUNTY,0504,504 - FREE BRIDGE,"2,589",183,"2,772",14,12,6,30,"77,923","4,278","82,201",631,554,169,133,"5,681,535","300,575","5,982,110","93,843","22,595","9,208","2,456"
Locality: 003 ALBEMARLE COUNTY,0506,506 - BAKER-BUTLER,"3,298",114,"3,412",46,27,4,30,"77,923","4,278","82,201",631,554,169,133,"5,681,535","300,575","5,982,110","93,843","22,595","9,208","2,456"
Locality: 003 ALBEMARLE COUNTY,0507,507 - PANTOPS,"2,312",53,"2,365",16,17,3,30,"77,923","4,278","82,201",631,554,169,133,"5,681,535","300,575","5,982,110","93,843","22,595","9,208","2,456"
Locality: 003 ALBEMARLE COUNTY,0601,601 - CROZET,"3,574",115,"3,689",31,29,7,30,"77,923","4,278","82,201",631,554,169,133,"5,681,535","300,575","5,982,110","93,843","22,595","9,208","2,456"
Locality: 003 ALBEMARLE COUNTY,0602,602 - FREE UNION,"1,454",26,"1,480",14,9,8,30,"77,923","4,278","82,201",631,554,169,133,"5,681,535","300,575","5,982,110","93,843","22,595","9,208","2,456"
Locality: 003 ALBEMARLE COUNTY,0603,603 - EARLYSVILLE,"3,266",98,"3,364",30,20,6,30,"77,923","4,278","82,201",631,554,169,133,"5,681,535","300,575","5,982,110","93,843","22,595","9,208","2,456"
Locality: 003 ALBEMARLE COUNTY,0604,604 - BROWNSVILLE,"3,131",107,"3,238",31,18,4,30,"77,923","4,278","82,201",631,554,169,133,"5,681,535","300,575","5,982,110","93,843","22,595","9,208","2,456"
Locality: 003 ALBEMARLE COUNTY,0606,606 - MECHUMS RIVER,"3,667",122,"3,789",26,20,2,30,"77,923","4,278","82,201",631,554,169,133,"5,681,535","300,575","5,982,110","93,843","22,595","9,208","2,456"
Locality: 005 ALLEGHANY COUNTY,0101,101 - ARRITT,"1,151",22,"1,173",8,2,2,12,"10,772",280,"11,052",56,9,6,133,"5,681,535","300,575","5,982,110","93,843","22,595","9,208","2,456"
Locality: 005 ALLEGHANY COUNTY,0103,103 - DAMERON,362,12,374,3,,,12,"10,772",280,"11,052",56,9,6,133,"5,681,535","300,575","5,982,110","93,843","22,595","9,208","2,456"
Locality: 005 ALLEGHANY COUNTY,0201,201 - HUMPBACK BRIDGE,605,15,620,8,2,,12,"10,772",280,"11,052",56,9,6,133,"5,681,535","300,575","5,982,110","93,843","22,595","9,208","2,456"
Locality: 005 ALLEGHANY COUNTY,0202,202 - DOLLY ANN,846,28,874,2,1,,12,"10,772",280,"11,052",56,9,6,133,"5,681,535","300,575","5,982,110","93,843","22,595","9,208","2,456"
Locality: 005 ALLEGHANY COUNTY,0301,301 - CALLAGHAN,627,6,633,1,,,12,"10,772",280,"11,052",56,9,6,133,"5,681,535","300,575","5,982,110","93,843","22,595","9,208","2,456"
Locality: 005 ALLEGHANY COUNTY,0302,302 - GRIFFITH,"1,048",15,"1,063",4,,,12,"10,772",280,"11,052",56,9,6,133,"5,681,535","300,575","5,982,110","93,843","22,595","9,208","2,456"
Locality: 005 ALLEGHANY COUNTY,0401,401 - LOW MOOR,830,25,855,1,2,2,12,"10,772",280,"11,052",56,9,6,133,"5,681,535","300,575","5,982,110","93,843","22,595","9,208","2,456"
Locality: 005 ALLEGHANY COUNTY,0402,402 - JACKSON HEIGHTS,919,21,940,4,1,,12,"10,772",280,"11,052",56,9,6,133,"5,681,535","300,575","5,982,110","93,843","22,595","9,208","2,456"
Locality: 005 ALLEGHANY COUNTY,0501,501 - IRON GATE,408,7,415,1,,,12,"10,772",280,"11,052",56,9,6,133,"5,681,535","300,575","5,982,110","93,843","22,595","9,208","2,456"
Locality: 005 ALLEGHANY COUNTY,0502,502 - PETERS SWITCH,"1,179",24,"1,203",3,,,12,"10,772",280,"11,052",56,9,6,133,"5,681,535","300,575","5,982,110","93,843","22,595","9,208","2,456"
Locality: 005 ALLEGHANY COUNTY,0601,601 - DISTRICT 1,"1,545",41,"1,586",6,1,1,12,"10,772",280,"11,052",56,9,6,133,"5,681,535","300,575","5,982,110","93,843","22,595","9,208","2,456"
Locality: 005 ALLEGHANY COUNTY,0701,701 - DISTRICT 2,"1,252",64,"1,316",15,,1,12,"10,772",280,"11,052",56,9,6,133,"5,681,535","300,575","5,982,110","93,843","22,595","9,208","2,456"
Locality: 007 AMELIA COUNTY,0101,101 - NUMBER ONE,"1,762",39,"1,801",12,,,5,"9,729",235,"9,964",83,11,1,133,"5,681,535","300,575","5,982,110","93,843","22,595","9,208","2,456"
Locality: 007 AMELIA COUNTY,0201,201 - NUMBER TWO,"1,927",44,"1,971",16,4,,5,"9,729",235,"9,964",83,11,1,133,"5,681,535","300,575","5,982,110","93,843","22,595","9,208","2,456"
Locality: 007 AMELIA COUNTY,0301,301 - NUMBER THREE,"1,947",47,"1,994",23,2,1,5,"9,729",235,"9,964",83,11,1,133,"5,681,535","300,575","5,982,110","93,843","22,595","9,208","2,456"
Locality: 007 AMELIA COUNTY,0401,401 - NUMBER FOUR,"1,893",54,"1,947",11,4,,5,"9,729",235,"9,964",83,11,1,133,"5,681,535","300,575","5,982,110","93,843","22,595","9,208","2,456"
Locality: 007 AMELIA COUNTY,0501,501 - NUMBER FIVE,"2,200",51,"2,251",21,1,,5,"9,729",235,"9,964",83,11,1,133,"5,681,535","300,575","5,982,110","93,843","22,595","9,208","2,456"
Locality: 009 AMHERST COUNTY,0101,101 - WRIGHT SHOP,"1,600",52,"1,652",6,1,1,11,"21,778",696,"22,474",162,21,19,133,"5,681,535","300,575","5,982,110","93,843","22,595","9,208","2,456"
Locality: 009 AMHERST COUNTY,0102,102 - NEW GLASGOW,"1,984",59,"2,043",19,,1,11,"21,778",696,"22,474",162,21,19,133,"5,681,535","300,575","5,982,110","93,843","22,595","9,208","2,456"
Locality: 009 AMHERST COUNTY,0103,103 - COOLWELL,966,33,999,9,,,11,"21,778",696,"22,474",162,21,19,133,"5,681,535","300,575","5,982,110","93,843","22,595","9,208","2,456"
Locality: 009 AMHERST COUNTY,0201,201 - COURT HOUSE,"3,057",110,"3,167",23,2,7,11,"21,778",696,"22,474",162,21,19,133,"5,681,535","300,575","5,982,110","93,843","22,595","9,208","2,456"
Locality: 009 AMHERST COUNTY,0202,202 - TEMPERANCE,"1,170",28,"1,198",10,3,,11,"21,778",696,"22,474",162,21,19,133,"5,681,535","300,575","5,982,110","93,843","22,595","9,208","2,456"
Locality: 009 AMHERST COUNTY,0301,301 - MONROE,"1,207",54,"1,261",11,1,1,11,"21,778",696,"22,474",162,21,19,133,"5,681,535","300,575","5,982,110","93,843","22,595","9,208","2,456"
Locality: 009 AMHERST COUNTY,0302,302 - ELON,"2,861",58,"2,919",26,7,1,11,"21,778",696,"22,474",162,21,19,133,"5,681,535","300,575","5,982,110","93,843","22,595","9,208","2,456"
Locality: 009 AMHERST COUNTY,0303,303 - PLEASANT VIEW,696,28,724,6,,,11,"21,778",696,"22,474",162,21,19,133,"5,681,535","300,575","5,982,110","93,843","22,595","9,208","2,456"
Locality: 009 AMHERST COUNTY,0401,401 - AMELON,"3,389",114,"3,503",19,6,4,11,"21,778",696,"22,474",162,21,19,133,"5,681,535","300,575","5,982,110","93,843","22,595","9,208","2,456"
Locality: 009 AMHERST COUNTY,0402,402 - LONCO,"1,035",39,"1,074",9,,1,11,"21,778",696,"22,474",162,21,19,133,"5,681,535","300,575","5,982,110","93,843","22,595","9,208","2,456"
Locality: 009 AMHERST COUNTY,0501,501 - MADISON,"3,813",121,"3,934",24,1,3,11,"21,778",696,"22,474",162,21,19,133,"5,681,535","300,575","5,982,110","93,843","22,595","9,208","2,456"
Locality: 011 APPOMATTOX COUNTY,0101,101 - VERA,862,21,883,9,2,,9,"11,610",307,"11,917",88,13,1,133,"5,681,535","300,575","5,982,110","93,843","22,595","9,208","2,456"
Locality: 011 APPOMATTOX COUNTY,0102,102 - PAMPLIN,"1,497",39,"1,536",14,2,1,9,"11,610",307,"11,917",88,13,1,133,"5,681,535","300,575","5,982,110","93,843","22,595","9,208","2,456"
Locality: 011 APPOMATTOX COUNTY,0201,201 - CHAP,617,20,637,6,,,9,"11,610",307,"11,917",88,13,1,133,"5,681,535","300,575","5,982,110","93,843","22,595","9,208","2,456"
Locality: 011 APPOMATTOX COUNTY,0202,202 - SPOUT SPRING,"1,823",37,"1,860",8,2,,9,"11,610",307,"11,917",88,13,1,133,"5,681,535","300,575","5,982,110","93,843","22,595","9,208","2,456"
Locality: 011 APPOMATTOX COUNTY,0301,301 - US  460,"1,093",26,"1,119",5,2,,9,"11,610",307,"11,917",88,13,1,133,"5,681,535","300,575","5,982,110","93,843","22,595","9,208","2,456"
Locality: 011 APPOMATTOX COUNTY,0302,302 - STONEWALL,"1,353",58,"1,411",19,,,9,"11,610",307,"11,917",88,13,1,133,"5,681,535","300,575","5,982,110","93,843","22,595","9,208","2,456"
Locality: 011 APPOMATTOX COUNTY,0401,401 - COURTHOUSE,"2,142",53,"2,195",16,3,,9,"11,610",307,"11,917",88,13,1,133,"5,681,535","300,575","5,982,110","93,843","22,595","9,208","2,456"
Locality: 011 APPOMATTOX COUNTY,0501,501 - OAKVILLE,"1,595",40,"1,635",9,2,,9,"11,610",307,"11,917",88,13,1,133,"5,681,535","300,575","5,982,110","93,843","22,595","9,208","2,456"
Locality: 011 APPOMATTOX COUNTY,0502,502 - AGEE,628,13,641,2,,,9,"11,610",307,"11,917",88,13,1,133,"5,681,535","300,575","5,982,110","93,843","22,595","9,208","2,456"
Locality: 013 ARLINGTON COUNTY,0001,001 - ARLINGTON,"2,828",177,"3,005",41,29,10,54,"156,307","14,270","170,577","2,233","3,062","1,165",133,"5,681,535","300,575","5,982,110","93,843","22,595","9,208","2,456"
Locality: 013 ARLINGTON COUNTY,0002,002 - ASHTON HEIGHTS,"3,307",283,"3,590",21,68,23,54,"156,307","14,270","170,577","2,233","3,062","1,165",133,"5,681,535","300,575","5,982,110","93,843","22,595","9,208","2,456"
Locality: 013 ARLINGTON COUNTY,0003,003 - AURORA HILLS,"1,866",128,"1,994",40,37,26,54,"156,307","14,270","170,577","2,233","3,062","1,165",133,"5,681,535","300,575","5,982,110","93,843","22,595","9,208","2,456"
Locality: 013 ARLINGTON COUNTY,0004,004 - BALLSTON,"3,507",303,"3,810",31,52,22,54,"156,307","14,270","170,577","2,233","3,062","1,165",133,"5,681,535","300,575","5,982,110","93,843","22,595","9,208","2,456"
Locality: 013 ARLINGTON COUNTY,0005,005 - BARCROFT,"2,754",180,"2,934",45,45,16,54,"156,307","14,270","170,577","2,233","3,062","1,165",133,"5,681,535","300,575","5,982,110","93,843","22,595","9,208","2,456"
Locality: 013 ARLINGTON COUNTY,0006,006 - CRYSTAL CITY,"2,597",451,"3,048",81,51,27,54,"156,307","14,270","170,577","2,233","3,062","1,165",133,"5,681,535","300,575","5,982,110","93,843","22,595","9,208","2,456"
Locality: 013 ARLINGTON COUNTY,0007,007 - CHERRYDALE,"3,078",177,"3,255",26,55,35,54,"156,307","14,270","170,577","2,233","3,062","1,165",133,"5,681,535","300,575","5,982,110","93,843","22,595","9,208","2,456"
Locality: 013 ARLINGTON COUNTY,0008,008 - HUME,"3,835",537,"4,372",87,93,33,54,"156,307","14,270","170,577","2,233","3,062","1,165",133,"5,681,535","300,575","5,982,110","93,843","22,595","9,208","2,456"
Locality: 013 ARLINGTON COUNTY,0009,009 - COLUMBIA,"3,845",370,"4,215",62,74,14,54,"156,307","14,270","170,577","2,233","3,062","1,165",133,"5,681,535","300,575","5,982,110","93,843","22,595","9,208","2,456"
Locality: 013 ARLINGTON COUNTY,0010,010 - WILSON,"4,361",509,"4,870",143,174,45,54,"156,307","14,270","170,577","2,233","3,062","1,165",133,"5,681,535","300,575","5,982,110","93,843","22,595","9,208","2,456"
Locality: 013 ARLINGTON COUNTY,0011,011 - EAST FALLS CHURCH,"2,156",109,"2,265",23,66,11,54,"156,307","14,270","170,577","2,233","3,062","1,165",133,"5,681,535","300,575","5,982,110","93,843","22,595","9,208","2,456"
Locality: 013 ARLINGTON COUNTY,0012,012 - FAIRLINGTON,"2,603",156,"2,759",52,69,30,54,"156,307","14,270","170,577","2,233","3,062","1,165",133,"5,681,535","300,575","5,982,110","93,843","22,595","9,208","2,456"
Locality: 013 ARLINGTON COUNTY,0013,013 - GLEN CARLYN,"2,155",96,"2,251",30,38,4,54,"156,307","14,270","170,577","2,233","3,062","1,165",133,"5,681,535","300,575","5,982,110","93,843","22,595","9,208","2,456"
Locality: 013 ARLINGTON COUNTY,0014,014 - CLARENDON,"2,346",252,"2,598",18,49,14,54,"156,307","14,270","170,577","2,233","3,062","1,165",133,"5,681,535","300,575","5,982,110","93,843","22,595","9,208","2,456"
Locality: 013 ARLINGTON COUNTY,0015,015 - LYON PARK,"1,789",131,"1,920",30,45,16,54,"156,307","14,270","170,577","2,233","3,062","1,165",133,"5,681,535","300,575","5,982,110","93,843","22,595","9,208","2,456"
Locality: 013 ARLINGTON COUNTY,0016,016 - LYON VILLAGE,"3,298",296,"3,594",18,75,28,54,"156,307","14,270","170,577","2,233","3,062","1,165",133,"5,681,535","300,575","5,982,110","93,843","22,595","9,208","2,456"
Locality: 013 ARLINGTON COUNTY,0017,017 - OVERLEE KNOLLS,"3,242",203,"3,445",35,63,30,54,"156,307","14,270","170,577","2,233","3,062","1,165",133,"5,681,535","300,575","5,982,110","93,843","22,595","9,208","2,456"
Locality: 013 ARLINGTON COUNTY,0018,018 - PARK LANE,"5,482",806,"6,288",51,146,40,54,"156,307","14,270","170,577","2,233","3,062","1,165",133,"5,681,535","300,575","5,982,110","93,843","22,595","9,208","2,456"
Locality: 013 ARLINGTON COUNTY,0019,019 - ROSSLYN,"4,078",638,"4,716",48,145,71,54,"156,307","14,270","170,577","2,233","3,062","1,165",133,"5,681,535","300,575","5,982,110","93,843","22,595","9,208","2,456"
Locality: 013 ARLINGTON COUNTY,0020,020 - THRIFTON,"2,960",118,"3,078",33,54,25,54,"156,307","14,270","170,577","2,233","3,062","1,165",133,"5,681,535","300,575","5,982,110","93,843","22,595","9,208","2,456"
Locality: 013 ARLINGTON COUNTY,0021,021 - VIRGINIA HIGHLANDS,"1,748",138,"1,886",23,23,12,54,"156,307","14,270","170,577","2,233","3,062","1,165",133,"5,681,535","300,575","5,982,110","93,843","22,595","9,208","2,456"
Locality: 013 ARLINGTON COUNTY,0022,022 - ABINGDON,"2,936",240,"3,176",62,84,22,54,"156,307","14,270","170,577","2,233","3,062","1,165",133,"5,681,535","300,575","5,982,110","93,843","22,595","9,208","2,456"
Locality: 013 ARLINGTON COUNTY,0023,023 - WESTOVER,"2,851",138,"2,989",31,58,16,54,"156,307","14,270","170,577","2,233","3,062","1,165",133,"5,681,535","300,575","5,982,110","93,843","22,595","9,208","2,456"
Locality: 013 ARLINGTON COUNTY,0024,024 - WOODLAWN,"3,977",237,"4,214",37,64,23,54,"156,307","14,270","170,577","2,233","3,062","1,165",133,"5,681,535","300,575","5,982,110","93,843","22,595","9,208","2,456"
Locality: 013 ARLINGTON COUNTY,0025,025 - ARLINGTON FOREST,"2,864",194,"3,058",25,68,21,54,"156,307","14,270","170,577","2,233","3,062","1,165",133,"5,681,535","300,575","5,982,110","93,843","22,595","9,208","2,456"
Locality: 013 ARLINGTON COUNTY,0026,026 - FILLMORE,"3,667",383,"4,050",51,49,16,54,"156,307","14,270","170,577","2,233","3,062","1,165",133,"5,681,535","300,575","5,982,110","93,843","22,595","9,208","2,456"
Locality: 013 ARLINGTON COUNTY,0027,027 - JEFFERSON,"3,138",214,"3,352",52,44,19,54,"156,307","14,270","170,577","2,233","3,062","1,165",133,"5,681,535","300,575","5,982,110","93,843","22,595","9,208","2,456"
Locality: 013 ARLINGTON COUNTY,0028,028 - WAKEFIELD,"3,752",368,"4,120",60,44,22,54,"156,307","14,270","170,577","2,233","3,062","1,165",133,"5,681,535","300,575","5,982,110","93,843","22,595","9,208","2,456"
Locality: 013 ARLINGTON COUNTY,0029,029 - DOMINION HILLS,"2,777",89,"2,866",37,65,37,54,"156,307","14,270","170,577","2,233","3,062","1,165",133,"5,681,535","300,575","5,982,110","93,843","22,595","9,208","2,456"
Locality: 013 ARLINGTON COUNTY,0030,030 - GLEBE,"3,233",247,"3,480",39,20,4,54,"156,307","14,270","170,577","2,233","3,062","1,165",133,"5,681,535","300,575","5,982,110","93,843","22,595","9,208","2,456"
Locality: 013 ARLINGTON COUNTY,0031,031 - LEXINGTON,"2,946",107,"3,053",33,38,19,54,"156,307","14,270","170,577","2,233","3,062","1,165",133,"5,681,535","300,575","5,982,110","93,843","22,595","9,208","2,456"
Locality: 013 ARLINGTON COUNTY,0032,032 - OAKRIDGE,"1,348",136,"1,484",45,23,14,54,"156,307","14,270","170,577","2,233","3,062","1,165",133,"5,681,535","300,575","5,982,110","93,843","22,595","9,208","2,456"
Locality: 013 ARLINGTON COUNTY,0033,033 - ROCK SPRING,"3,062",113,"3,175",27,42,25,54,"156,307","14,270","170,577","2,233","3,062","1,165",133,"5,681,535","300,575","5,982,110","93,843","22,595","9,208","2,456"
Locality: 013 ARLINGTON COUNTY,0034,034 - YORKTOWN,"2,630",100,"2,730",24,52,17,54,"156,307","14,270","170,577","2,233","3,062","1,165",133,"5,681,535","300,575","5,982,110","93,843","22,595","9,208","2,456"
Locality: 013 ARLINGTON COUNTY,0035,035 - MADISON,"3,255",125,"3,380",37,47,25,54,"156,307","14,270","170,577","2,233","3,062","1,165",133,"5,681,535","300,575","5,982,110","93,843","22,595","9,208","2,456"
Locality: 013 ARLINGTON COUNTY,0036,036 - MARSHALL,"3,286",199,"3,485",30,64,25,54,"156,307","14,270","170,577","2,233","3,062","1,165",133,"5,681,535","300,575","5,982,110","93,843","22,595","9,208","2,456"
Locality: 013 ARLINGTON COUNTY,0037,037 - NOTTINGHAM,"2,596",70,"2,666",16,44,14,54,"156,307","14,270","170,577","2,233","3,062","1,165",133,"5,681,535","300,575","5,982,110","93,843","22,595","9,208","2,456"
Locality: 013 ARLINGTON COUNTY,0038,038 - ARLINGTON VIEW,"2,984",367,"3,351",56,41,22,54,"156,307","14,270","170,577","2,233","3,062","1,165",133,"5,681,535","300,575","5,982,110","93,843","22,595","9,208","2,456"
Locality: 013 ARLINGTON COUNTY,0039,039 - ASHLAWN,"1,714",80,"1,794",20,29,16,54,"156,307","14,270","170,577","2,233","3,062","1,165",133,"5,681,535","300,575","5,982,110","93,843","22,595","9,208","2,456"
