Locality,PrecinctCode,PrecinctName,ActiveVoters,InactiveVoters,AllVoters,MilitaryVoters,OverseasVoters,TempVoters,TotalPrecinctsInLocality,TotalActiveVotersPrecinctLocality,TotalInActiveVotersPrecinctLocality,TotalAllVotersPrecinctLocality,TotalMilitaryVotersPrecinctLocality,TotalOverseasVotersPrecinctLocality,TotalFederalVotersPrecinctLocality,StateTotalLocality,TotalActiveVotersLocality,TotalInActiveVotersLocality,TotalAllVotersLocality,TotalMilitaryVotersLocality,TotalOverseasVotersLocality,TotalFederalVotersLocality,StateTotalPrecincts
Locality: 001 ACCOMACK COUNTY,0101,101 - CHINCOTEAGUE,"2,677",120,"2,797",28,3,9,16,"23,801","1,007","24,808",226,17,41,133,"5,681,535","300,575","5,982,110","93,843","22,595","9,208","2,456"
Locality: 001 ACCOMACK COUNTY,0201,201 - ATLANTIC,"1,129",49,"1,178",14,,,16,"23,801","1,007","24,808",226,17,41,133,"5,681,535","300,575","5,982,110","93,843","22,595","9,208","2,456"
Locality: 001 ACCOMACK COUNTY,0202,202 - GREENBACKVILLE,"1,914",105,"2,019",36,,2,16,"23,801","1,007","24,808",226,17,41,133,"5,681,535","300,575","5,982,110","93,843","22,595","9,208","2,456"
Locality: 001 ACCOMACK COUNTY,0301,301 - NEW CHURCH,"2,586",174,"2,760",22,1,,16,"23,801","1,007","24,808",226,17,41,133,"5,681,535","300,575","5,982,110","93,843","22,595","9,208","2,456"
Locality: 001 ACCOMACK COUNTY,0401,401 - BLOXOM,858,34,892,6,,2,16,"23,801","1,007","24,808",226,17,41,133,"5,681,535","300,575","5,982,110","93,843","22,595","9,208","2,456"
Locality: 001 ACCOMACK COUNTY,0402,402 - PARKSLEY,"1,151",43,"1,194",11,3,2,16,"23,801","1,007","24,808",226,17,41,133,"5,681,535","300,575","5,982,110","93,843","22,595","9,208","2,456"
Locality: 001 ACCOMACK COUNTY,0403,403 - SAXIS,321,6,327,1,,,16,"23,801","1,007","24,808",226,17,41,133,"5,681,535","300,575","5,982,110","93,843","22,595","9,208","2,456"
Locality: 001 ACCOMACK COUNTY,0501,501 - MAPPSVILLE,"1,128",55,"1,183",3,1,2,16,"23,801","1,007","24,808",226,17,41,133,"5,681,535","300,575","5,982,110","93,843","22,595","9,208","2,456"
Locality: 001 ACCOMACK COUNTY,0502,502 - RUE,"1,025",42,"1,067",6,,,16,"23,801","1,007","24,808",226,17,41,133,"5,681,535","300,575","5,982,110","93,843","22,595","9,208","2,456"
Locality: 001 ACCOMACK COUNTY,0601,601 - ACCOMAC,"1,914",89,"2,003",18,2,2,16,"23,801","1,007","24,808",226,17,41,133,"5,681,535","300,575","5,982,110","93,843","22,595","9,208","2,456"
Locality: 001 ACCOMACK COUNTY,0602,602 - TANGIER,323,6,329,5,,2,16,"23,801","1,007","24,808",226,17,41,133,"5,681,535","300,575","5,982,110","93,843","22,595","9,208","2,456"
Locality: 001 ACCOMACK COUNTY,0701,701 - NANDUA,"2,880",99,"2,979",30,3,13,16,"23,801","1,007","24,808",226,17,41,133,"5,681,535","300,575","5,982,110","93,843","22,595","9,208","2,456"
Locality: 001 ACCOMACK COUNTY,0801,801 - BOBTOWN,903,25,928,3,2,3,16,"23,801","1,007","24,808",226,17,41,133,"5,681,535","300,575","5,982,110","93,843","22,595","9,208","2,456"
Locality: 001 ACCOMACK COUNTY,0802,802 - MELFA,"1,397",45,"1,442",5,,,16,"23,801","1,007","24,808",226,17,41,133,"5,681,535","300,575","5,982,110","93,843","22,595","9,208","2,456"
Locality: 001 ACCOMACK COUNTY,0803,803 - WACHAPREAGUE,776,17,793,10,1,,16,"23,801","1,007","24,808",226,17,41,133,"5,681,535","300,575","5,982,110","93,843","22,595","9,208","2,456"
Locality: 001 ACCOMACK COUNTY,0901,901 - PAINTER,"2,819",98,"2,917",28,1,4,16,"23,801","1,007","24,808",226,17,41,133,"5,681,535","300,575","5,982,110","93,843","22,595","9,208","2,456"
Locality: 003 ALBEMARLE COUNTY,0101,101 - WOODBROOK,"2,942",138,"3,080",13,12,1,30,"77,923","4,278","82,201",631,554,169,133,"5,681,535","300,575","5,982,110","93,843","22,595","9,208","2,456"
Locality: 003 ALBEMARLE COUNTY,0103,103 - BRANCHLANDS,"1,204",194,"1,398",14,6,1,30,"77,923","4,278","82,201",631,554,169,133,"5,681,535","300,575","5,982,110","93,843","22,595","9,208","2,456"
